wall_time,index,name,util_gpu,memory_used,memory_total,power,temperature
1782120334.5665078,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.04,57
1782120339.6913455,0,NVIDIA GeForce RTX 4090 D,68,1550,24564,140.77,53
1782120339.6913455,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,139.12,58
1782120344.8144753,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,141.19,54
1782120344.8144753,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,139.09,58
1782120349.9312546,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,140.49,54
1782120349.9312546,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,138.70,57
1782120355.0529592,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,140.49,53
1782120355.0529592,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,135.69,58
1782120360.1582685,0,NVIDIA GeForce RTX 4090 D,16,1550,24564,112.64,52
1782120360.1582685,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,147.46,58
1782120365.2614713,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.89,55
1782120365.2614713,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,135.29,57
1782120370.339946,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,140.54,53
1782120370.339946,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.08,57
1782120375.4205377,0,NVIDIA GeForce RTX 4090 D,13,1550,24564,105.81,51
1782120375.4205377,1,NVIDIA GeForce RTX 4090 D,75,1550,24564,137.51,57
1782120380.5193112,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,140.94,53
1782120380.5193112,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,137.21,57
1782120385.634333,0,NVIDIA GeForce RTX 4090 D,69,1550,24564,142.37,53
1782120385.634333,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,135.42,57
1782120390.7279024,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,142.69,54
1782120390.7279024,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,137.30,58
1782120395.8429801,0,NVIDIA GeForce RTX 4090 D,72,1550,24564,141.81,53
1782120395.8429801,1,NVIDIA GeForce RTX 4090 D,73,1550,24564,137.06,57
1782120400.9727318,0,NVIDIA GeForce RTX 4090 D,73,1550,24564,141.53,54
1782120400.9727318,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,123.20,57
1782120406.0944886,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,141.30,54
1782120406.0944886,1,NVIDIA GeForce RTX 4090 D,72,1550,24564,136.98,57
1782120411.2154098,0,NVIDIA GeForce RTX 4090 D,70,1550,24564,140.90,53
1782120411.2154098,1,NVIDIA GeForce RTX 4090 D,71,1550,24564,137.19,57
1782120416.3398128,0,NVIDIA GeForce RTX 4090 D,71,1550,24564,141.84,53
