eval_seed,mode,episode_reward,episode_cost,episode_length,success,violation_rate,collision_rate,min_clearance,path_length,fallback_rate,found_but_not_executed_rate,latency_ms,train_seed,run_name,candidates,margin,checkpoint
800007,star_exec,-1.599627844244242,10.0,13,1.0,0.7692307692307693,0.7692307692307693,-0.01979782402515412,0.4324496500194073,1.0,0.0,3.4402634661931257,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800008,raw,-0.9263478045165539,8.0,10,1.0,0.8,0.8,-0.014373071193695075,0.31948368437588215,0.0,0.0,2.83719003200531,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800008,star_exec,-1.1058535408973693,8.0,11,1.0,0.7272727272727273,0.6363636363636364,0.013064407110214227,0.35779354721307755,1.0,0.0,3.478297794407064,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800009,raw,-1.0520163898915058,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.036736812144517905,0.3391395825892687,0.0,0.0,2.681690522215583,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800009,star_exec,-1.1270592585206036,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.018388218879699714,0.38775250874459743,0.9090909090909091,0.0,3.266213969750838,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800010,raw,-1.3391633076965812,11.0,11,1.0,1.0,1.0,-0.039076495617628104,0.35293503664433956,0.0,0.0,2.7717880227349023,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800010,star_exec,-1.4147339151054616,10.0,12,1.0,0.8333333333333334,0.8333333333333334,-0.02399932190775872,0.41693188808858395,1.0,0.0,3.3551466961701712,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800011,raw,-0.924657787233591,9.0,10,1.0,0.9,0.9,0.00031784951686858465,0.33709616959095,0.0,0.0,2.8033357113599777,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800011,star_exec,-1.1435473398864269,10.0,11,1.0,0.9090909090909091,0.9090909090909091,0.003927320539951318,0.378230644389987,1.0,0.0,3.530570390549573,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800012,raw,-1.2891692927479745,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.02648766309022904,0.37021069042384624,0.0,0.0,2.608843825080178,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800012,star_exec,-1.418959008306265,10.0,11,1.0,0.9090909090909091,0.9090909090909091,-0.0027425137162208624,0.3740382418036461,1.0,0.0,3.4293170002373783,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
800013,raw,-0.6797150222212073,10.0,10,1.0,1.0,1.0,-0.03224951371550561,0.3084794506430626,0.0,0.0,2.787887677550316,11,panda_final_star_cfg2_star_v2_s11,16,0.02,/root/autodl-tmp/star_v2_storage/results/star_arm_panda/final/SafetyPandaReachObstacle-v0/star_v2/panda_final_star_cfg2_star_v2_s11/checkpoint/final.torch
